event_number, px, py, pz, E
42 -4.24533 3.1267 -1.08828 5.38363
42 -1.5556 5.53835 1.38348 5.91669
42 -0.756661 2.44921 0.553766 2.62256
43 -9.0607 -8.97476 -2.66795 13.0292
43 -2.74279 -2.71504 -0.731664 3.92806
43 -0.885056 2.32019 0.391296 2.5139
43 -0.421536 0.870897 0.163562 0.981278
43 -5.06194 7.17286 -1.5745 8.9192
43 -1.87439 2.77175 -0.549441 3.39084
43 -2.63376 -3.29918 0.734829 4.28501
43 -1.96158 -2.37744 0.431185 3.11223
43 -1.43439 -4.63986 0.457218 4.878
43 -0.18522 -0.577465 0.00975647 0.606521
44 -4.54705 -2.45703 1.36621 5.34595
44 -4.02545 -2.26638 1.11878 4.75314
44 4.01231 -5.81494 -1.71496 7.27002
44 0.572354 -0.865492 -0.301053 1.08042
44 0.214577 5.25415 -0.2057 5.26255
44 0.0101872 1.03815 -0.0913191 1.04221
44 1.04281 0.393499 -0.139145 1.12323
44 0.995567 0.278116 -0.222833 1.05743
44 -15.3795 -4.94233 -3.37872 16.5037
44 -0.68453 -0.241026 -0.172711 0.745992
45 3.68929 1.50481 0.0374314 3.98456
45 0.969633 0.464166 0.0395916 1.07573
45 -1.41483 -5.6699 -1.65348 6.07318
45 -0.811861 -3.54259 -0.945246 3.75533
45 -3.52745 -7.06322 -0.195254 7.89748
45 -1.80913 -3.7845 -0.0370785 4.19485
45 -6.73917 -0.948418 1.66317 7.00585
45 -3.68522 -0.422426 0.936599 3.82577
45 0.0900808 3.82929 -0.584185 3.87464
45 0.17534 2.67862 -0.396941 2.71354
46 3.0304 -3.99763 -1.10711 5.13713
46 1.90673 -2.64679 -0.643914 3.32502
46 -11.2224 -5.02574 3.51852 12.7898
46 -1.77 -0.744515 0.518079 1.98887
46 -1.05131 -2.06937 0.234121 2.33289
46 -1.0152 -1.72588 0.179985 2.01039
46 -6.73574 -12.4987 2.93217 14.4978
46 -2.646 -4.84186 1.06026 5.61863
46 -15.7482 -5.53909 4.67204 17.3354
46 -1.52606 -0.540757 0.496738 1.69352
47 -0.722933 3.24633 -0.333911 3.34257
47 -0.015188 0.0184849 0.000359365 0.0239269
47 -1.22559 -7.59135 0.548048 7.70915
47 -0.0710009 -0.566576 0.0715744 0.575476
47 8.87103 -9.7854 -2.46625 13.4362
47 3.18364 -3.40618 -0.832544 4.73611
47 7.61428 3.9736 -0.899428 8.63572
47 1.44579 0.751322 -0.229792 1.64548
47 -5.49409 0.607115 -0.547132 5.55454
47 -3.28341 0.303234 -0.412708 3.32311
48 -10.4945 -3.42813 -1.41207 11.1302
48 -2.28517 -0.726804 -0.246242 2.41057
48 -1.09752 2.83717 0.00407123 3.04205
48 -0.34458 0.888828 -0.0743354 0.956178
48 -6.64024 6.73509 -1.17978 9.53133
48 -0.0481397 0.0351124 -0.00278463 0.0596495
48 -2.78824 6.15916 1.70611 6.97283
48 -0.444009 0.975909 0.215487 1.09361
48 -1.62381 1.71929 0.0989243 2.36696
48 -0.820879 0.914594 0.143859 1.23734
49 -1.08576 1.37796 0.427959 1.80577
49 -0.721219 0.922198 0.173321 1.18349
49 -2.92106 -4.60623 -0.212813 5.4585
49 -0.173012 -0.228487 -0.0310495 0.288277
49 1.47416 2.9209 1.05798 3.43862
49 1.49802 2.85645 0.913189 3.3522
49 11.3406 4.5348 -2.6044 12.4883
49 3.07534 1.26317 -0.773698 3.41349
49 1.5022 -0.595005 0.288667 1.64133
49 0.891375 -0.45649 0.224821 1.02639
50 -6.42931 12.7296 -2.62484 14.5006
50 -2.44395 4.95652 -0.950973 5.60753
50 -3.74537 2.5942 1.34484 4.7504
50 -0.513628 0.371443 0.136873 0.648474
50 -0.0367664 13.6866 -2.32427 13.8826
50 0.0546998 4.22434 -0.681444 4.2793
50 -8.73055 -2.71042 -1.10803 9.20851
50 -8.31533 -2.68901 -1.14285 8.81372
50 16.4222 -3.87409 -3.62529 17.258
50 1.42315 -0.354556 -0.279079 1.49297
51 -2.18992 -0.86549 0.645941 2.44173
51 -0.960483 -0.341842 0.195903 1.03815
51 5.17544 9.7438 -2.85619 11.3967
51 1.60019 3.05503 -0.817793 3.54438
51 -0.344603 12.8927 2.41131 13.1208
51 -0.0166311 0.483534 0.0642485 0.488067
51 2.86602 -5.52129 0.0387285 6.22095
51 2.36834 -4.46815 -0.0821816 5.05768
51 1.52248 8.82053 1.56475 9.0867
51 1.45509 8.65001 1.66377 8.92794
52 16.7878 -4.06023 4.9821 17.976
52 0.341388 -0.0980741 0.0898804 0.366392
52 -10.3553 4.76063 -1.24272 11.4647
52 -0.727357 0.370707 -0.0742585 0.819748
52 1.38632 -5.28648 0.0322868 5.46532
52 0.365067 -1.14648 0.0183343 1.20334
52 9.78491 -1.83571 0.945807 10.0004
52 8.29369 -1.56162 0.677141 8.46655
52 -8.59028 -4.21437 -1.37342 9.66644
52 -2.20156 -1.09887 -0.286291 2.47716
